rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,-0.494664,0,0,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,0.282936,0,0,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,1.0955,0,0,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,0.610539,0,0,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,-1.44511,0,0,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,-0.915536,0,0,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,-1.50953,0,0,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,0.470583,0,0,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,1.13911,0,0,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,0.837093,0,0,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,0.845982,0,0,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,-1.70987,0,0,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,-1.56545,0,0,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,-1.494,0,0,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,-1.49061,0,0,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,0.852065,0,0,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,0.768493,0,0,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,-0.909631,0,0,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,0.998923,0,0,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,0.958657,0,0,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,0.0422107,0,0,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,-0.0865182,0,0,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,1.28334,0,0,69.0|292,462
