id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
8|1056|8|1056|sample|10|276|10|276|28.0,0.26815,0.913772,4.02894,-3.8446,0.268151,0.91377,4.02895,-3.83316,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0.26815,0.913772,4.02894,-3.84639,0.268151,0.91377,4.02895,-3.83316,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0.268154,1.14396,1.19595,-3.8112,0.268155,1.14396,1.19595,-3.83316,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,0.268154,1.14396,1.19595,-3.83721,0.268155,1.14396,1.19595,-3.83316,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.8487,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.84894,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.85232,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.85008,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.8406,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.847,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.86205,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0.268154,1.14396,1.19595,-3.83773,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.86081,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.8439,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.83489,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|4|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.86115,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.81251,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|6|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.85463,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
