id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-3.2243e-10,-7.29478e-10,-5.28738e-09,0,0,0,6.13909e-12,1.17965e-11,-2.5691e-11,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,7.32164e-10,-1.63899e-09,-3.71343e-09,0,0,0,1.33014e-11,1.79077e-11,-1.46381e-11,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,1.99184e-10,-1.1801e-09,-4.29282e-09,0,0,0,-1.36424e-12,2.08054e-11,5.96412e-12,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,-9.86141e-10,-1.83466e-09,2.59727e-09,0,0,0,-6.9349e-12,1.77768e-11,7.36877e-12,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,-3.98586e-11,-1.85949e-09,1.58668e-09,0,0,0,4.54747e-13,-2.21037e-11,-1.84865e-11,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,-4.42892e-10,4.81639e-09,-8.44331e-10,0,0,0,-1.09139e-11,-2.36553e-11,-4.63887e-11,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,1.52563e-09,-9.62486e-10,3.20184e-09,0,0,0,-3.41061e-12,-1.39102e-11,2.31495e-11,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,6.86962e-10,3.84906e-10,5.98433e-09,0,0,0,-5.68434e-13,2.17117e-11,2.53193e-11,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,4.43521e-11,3.54696e-09,-5.53705e-09,0,0,0,-8.29914e-12,6.39311e-12,-3.95852e-11,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,-6.50164e-10,-6.20019e-10,3.81483e-09,0,0,0,-4.77485e-12,-1.37282e-11,-1.76841e-11,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,1.62178e-09,4.3119e-09,-3.25503e-09,0,0,0,-7.7307e-12,3.16165e-11,4.85206e-11,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,8.69992e-10,-8.38901e-10,-1.74221e-09,0,0,0,4.77485e-12,1.08327e-11,2.74505e-11,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-1.92698e-09,6.23837e-10,7.61638e-09,0,0,0,-7.50333e-12,-8.67217e-12,2.89286e-11,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,1.62594e-09,-1.78792e-10,5.58686e-09,0,0,0,-1.81899e-12,-4.63363e-12,-5.85008e-11,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,1.2493e-09,-1.13303e-09,-6.38502e-10,0,0,0,-2.04636e-12,-9.30944e-12,-5.07727e-11,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,-2.63357e-09,-1.98055e-09,2.44918e-09,0,0,0,-1.25056e-11,-2.14544e-11,1.11794e-11,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,-1.79136e-09,-1.87625e-09,5.35901e-09,0,0,0,1.38698e-11,-4.41047e-12,-2.69907e-11,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,-7.88771e-11,2.60367e-09,-2.63527e-10,0,0,0,-2.02363e-11,-8.91998e-12,1.06692e-13,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,1.25822e-10,-1.19844e-09,2.81537e-09,0,0,0,1.13687e-12,-1.27245e-11,-2.13124e-11,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,6.54022e-10,-3.64622e-09,3.43144e-09,0,0,0,-1.02318e-11,-1.11617e-11,1.50311e-11,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,4.16497e-10,1.55353e-10,1.85185e-09,0,0,0,-1.18234e-11,6.34159e-12,4.17497e-11,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,-1.59523e-09,-6.64456e-10,-1.05724e-09,0,0,0,1.47793e-11,1.41247e-11,-3.83484e-11,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,1.3831e-09,-5.02952e-11,8.62514e-10,0,0,0,6.70752e-12,-3.47493e-11,5.14211e-11,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,6.58651e-10,1.50224e-09,-5.54818e-09,0,0,0,1.20508e-11,2.48561e-11,-2.2416e-11,0,0,False,69.0|274,411
