rep,id,f,h,s,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.87548,0.937567,2.74728,-4.33642,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,2.06374,0.937567,2.74728,-4.33642,70.0|274,411
3,9|411|9|411|sample|4|274|4|274|70.0,1.86765,0.937567,2.74728,-4.33642,70.0|274,411
4,9|411|9|411|sample|4|274|4|274|70.0,2.15485,0.937567,2.74728,-4.33642,70.0|274,411
5,9|411|9|411|sample|4|274|4|274|70.0,1.99754,0.937567,2.74728,-4.33642,70.0|274,411
6,9|411|9|411|sample|4|274|4|274|70.0,1.99749,0.937567,2.74728,-4.33642,70.0|274,411
7,9|411|9|411|sample|4|274|4|274|70.0,2.10287,0.937567,2.74728,-4.33642,70.0|274,411
8,9|411|9|411|sample|4|274|4|274|70.0,1.81026,0.937567,2.74728,-4.33642,70.0|274,411
9,9|411|9|411|sample|4|274|4|274|70.0,1.69397,0.937567,2.74728,-4.33642,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1.07664,0.937567,2.74728,-4.33642,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,1.19111,0.937567,2.74728,-4.33642,70.0|274,411
3,9|411|9|411|sample|3|274|3|274|70.0,1.10912,0.937567,2.74728,-4.33642,70.0|274,411
4,9|411|9|411|sample|3|274|3|274|70.0,1.14965,0.937567,2.74728,-4.33642,70.0|274,411
5,9|411|9|411|sample|3|274|3|274|70.0,1.10998,0.937567,2.74728,-4.33642,70.0|274,411
6,9|411|9|411|sample|3|274|3|274|70.0,1.12912,0.937567,2.74728,-4.33642,70.0|274,411
7,9|411|9|411|sample|3|274|3|274|70.0,1.08344,0.937567,2.74728,-4.33642,70.0|274,411
8,9|411|9|411|sample|3|274|3|274|70.0,1.05779,0.937567,2.74728,-4.33642,70.0|274,411
9,9|411|9|411|sample|3|274|3|274|70.0,1.09869,0.937567,2.74728,-4.33642,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,2.13589,0.937567,2.74728,-4.33642,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,1.96878,0.937567,2.74728,-4.33642,70.0|274,411
3,9|411|9|411|sample|5|274|5|274|70.0,2.10879,0.937567,2.74728,-4.33642,70.0|274,411
4,9|411|9|411|sample|5|274|5|274|70.0,2.1673,0.937567,2.74728,-4.33642,70.0|274,411
5,9|411|9|411|sample|5|274|5|274|70.0,2.00403,0.937567,2.74728,-4.33642,70.0|274,411
6,9|411|9|411|sample|5|274|5|274|70.0,2.01518,0.937567,2.74728,-4.33642,70.0|274,411
7,9|411|9|411|sample|5|274|5|274|70.0,2.01518,0.937567,2.74728,-4.33642,70.0|274,411
8,9|411|9|411|sample|5|274|5|274|70.0,2.10515,0.937567,2.74728,-4.33642,70.0|274,411
9,9|411|9|411|sample|5|274|5|274|70.0,2.18188,0.937567,2.74728,-4.33642,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,2.37978,0.937567,2.74728,-4.33642,70.0|274,411
2,9|411|9|411|sample|6|274|6|274|70.0,2.36831,0.937567,2.74728,-4.33642,70.0|274,411
3,9|411|9|411|sample|6|274|6|274|70.0,2.36831,0.937567,2.74728,-4.33642,70.0|274,411
4,9|411|9|411|sample|6|274|6|274|70.0,2.18875,0.937567,2.74728,-4.33642,70.0|274,411
5,9|411|9|411|sample|6|274|6|274|70.0,2.35233,0.937567,2.74728,-4.33642,70.0|274,411
6,9|411|9|411|sample|6|274|6|274|70.0,2.36991,0.937567,2.74728,-4.33642,70.0|274,411
7,9|411|9|411|sample|6|274|6|274|70.0,2.20458,0.937567,2.74728,-4.33642,70.0|274,411
8,9|411|9|411|sample|6|274|6|274|70.0,2.20775,0.937567,2.74728,-4.33642,70.0|274,411
9,9|411|9|411|sample|6|274|6|274|70.0,2.41036,0.937567,2.74728,-4.33642,70.0|274,411
