id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mean,h_mean,s_mean,L_gap_mean,f_mode,h_mode,s_mode,L_gap_mode,f_sd,h_sd,s_sd,L_gap_sd,mab_virus,run_id
8|1197|8|1197|sample|4|103|4|103|22.0,0.370944,0.833389,7.7864,-4.7609,0.376732,0.833389,7.7864,-4.7609,0.373367,0.833389,7.7864,-4.7609,0.0175948,4.21468e-08,3.67428e-07,1.03238e-07,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,0.34184,0.710761,8.16885,-6.1735,0.344634,0.710761,8.16885,-6.1735,0.345084,0.710761,8.16885,-6.1735,0.016814,4.71216e-08,4.12953e-07,0,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,1.59305,1.44399,0.419818,-2.61727,1.14483,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,0.942917,2.10734e-08,1.17804e-08,5.16191e-08,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,1.40151,1.44399,0.419818,-2.61727,1.20312,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.08512,4.71216e-08,1.58051e-08,8.9407e-08,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,1.39987,1.44399,0.419818,-2.61727,1.2035,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,0.872452,2.98023e-08,2.10734e-08,4.21468e-08,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,1.35869,1.44399,0.419818,-2.61727,1.80521,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.94301,3.65002e-08,1.39388e-08,8.42937e-08,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,1.6343,1.44399,0.419818,-2.61727,1.65422,1.44399,0.419818,-2.61727,0.999999,1.44399,0.419818,-2.61727,2.26835,6.32203e-08,1.58051e-08,5.16191e-08,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,1.63295,1.44399,0.419818,-2.61727,1.4163,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.25109,2.10734e-08,1.666e-08,7.30005e-08,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,1.58216,1.44399,0.419818,-2.61727,1.84529,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.9862,4.21468e-08,1.97124e-08,2.98023e-08,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,1.68923,1.44399,0.419818,-2.61727,1.33786,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.0794,0,1.58051e-08,0,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,1.81949,1.44399,0.419818,-2.61727,1.56262,1.44399,0.419818,-2.61727,0.999999,1.44399,0.419818,-2.61727,1.83456,4.21468e-08,1.29048e-08,2.98023e-08,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,1.35367,1.44399,0.419818,-2.61727,1.6333,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.90835,2.98023e-08,1.82501e-08,7.88495e-08,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,1.36924,1.44399,0.419818,-2.61727,1.6683,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.50361,5.96046e-08,1.49012e-08,5.96046e-08,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,1.44705,1.44399,0.419818,-2.61727,1.45979,1.44399,0.419818,-2.61727,1.00605,1.44399,0.419818,-2.61727,1.40514,4.21468e-08,1.74732e-08,0,69.0|103,1197
8|1197|8|1197|vc|5|2|103|2|103|69.0,1.41266,1.44399,0.419818,-2.61727,1.73033,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.5926,5.96046e-08,1.29048e-08,0,69.0|103,1197
8|1197|8|1197|vc|6|2|103|2|103|69.0,1.60292,1.44399,0.419818,-2.61727,1.35251,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.18869,5.16191e-08,1.39388e-08,5.16191e-08,69.0|103,1197
8|1197|8|1197|vc|7|2|103|2|103|69.0,1.74305,1.44399,0.419818,-2.61727,1.51134,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.31194,5.5755e-08,1.05367e-08,8.9407e-08,69.0|103,1197
8|1197|8|1197|vc|8|2|103|2|103|69.0,1.76223,1.44399,0.419818,-2.61727,1.31737,1.44399,0.419818,-2.61727,1,1.44399,0.419818,-2.61727,1.12699,4.21468e-08,1.89953e-08,5.16191e-08,69.0|103,1197
