id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_s_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_s_sd,eta_L_gap_sd,mab_virus,run_id
9|411|9|411|cc|6|1|274|1|274|69.0,-0.102652,8.12306e-09,-2.20086e-09,5.55409e-10,0.0640088,4.14655e-09,-4.60706e-09,-1.55563e-08,2.16774e-07,-3.9968e-14,-1.59872e-14,-1.28786e-14,0.745588,3.78911e-08,4.11278e-08,4.65853e-08,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.0249569,-1.35814e-09,1.99362e-09,-9.11628e-09,-0.088383,-3.8279e-09,-6.68411e-10,1.95969e-09,-6.46284e-07,-5.32907e-15,3.73035e-14,-3.08642e-14,0.832457,4.09938e-08,4.52702e-08,5.36905e-08,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-0.0261373,-1.33772e-08,-3.44262e-09,5.08225e-09,0.128585,-3.91498e-09,9.48378e-09,5.83502e-09,-4.42815e-08,1.19904e-14,6.21725e-15,-2.68674e-14,0.90441,3.99174e-08,3.96354e-08,4.66802e-08,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.178362,-1.93906e-09,1.24076e-09,-3.05481e-09,-0.130409,-8.32175e-09,-7.3476e-09,9.0813e-09,1.88643e-07,5.08482e-14,-3.4639e-14,-1.11022e-14,0.836967,4.21361e-08,3.95068e-08,5.1606e-08,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-0.0403079,-5.90943e-09,-2.4164e-09,-1.19135e-08,0.0500925,1.7483e-09,-9.24978e-11,-3.8986e-09,-2.49044e-07,-6.88338e-15,4.44089e-16,-4.08562e-14,0.921733,3.75604e-08,3.56571e-08,5.33827e-08,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-0.0528193,4.41524e-11,2.10235e-09,-2.67383e-09,-0.124242,-1.8346e-09,-1.04662e-11,-1.74514e-09,-6.49723e-07,7.77156e-15,2.88658e-14,3.39728e-14,0.939657,4.53981e-08,4.34135e-08,4.64069e-08,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,-0.00661912,2.30624e-09,3.58367e-09,7.95964e-09,0.0974107,-8.16915e-09,-6.87038e-09,-1.05143e-08,5.33592e-07,1.59872e-14,2.62013e-14,3.77476e-15,0.830714,4.65677e-08,4.0566e-08,5.68478e-08,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.015615,-2.87237e-10,-2.3709e-09,-9.73128e-10,-0.0524366,4.50103e-09,7.08944e-10,4.32601e-09,-2.25698e-08,-1.15463e-14,-8.88178e-16,3.35287e-14,0.940351,3.71409e-08,4.30721e-08,5.69316e-08,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0.0064857,3.19346e-09,8.12886e-10,-2.36526e-09,-0.0931122,-3.28704e-09,5.56547e-09,-2.59679e-09,7.18566e-08,8.88178e-16,1.24345e-14,-2.64233e-14,0.792577,3.84092e-08,4.27218e-08,5.08583e-08,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.103044,4.31512e-09,-2.27733e-09,-4.72154e-09,0.0565611,-6.6118e-09,-2.06091e-09,1.27599e-08,5.88409e-08,2.44249e-14,1.24345e-14,3.57492e-14,0.664774,4.63256e-08,4.00014e-08,6.18665e-08,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-0.0137294,-6.14277e-09,2.36593e-09,-3.53721e-09,-0.0373606,3.59338e-10,5.56168e-09,3.99085e-09,-1.80341e-07,-1.64313e-14,-6.21725e-15,1.62093e-14,0.798106,3.81697e-08,3.83666e-08,4.91439e-08,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,-0.645717,1.01548e-08,1.06805e-08,7.26435e-10,-0.625189,-7.79318e-09,-5.25061e-09,1.67733e-08,-0.632267,-1.13576e-13,1.57874e-13,-9.23706e-14,0.0498324,4.08393e-08,3.67633e-08,5.79945e-08,65.0|322,152
