rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.628863,-8.78352e-09,5.30532e-08,2.51695e-08,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,0.724519,4.83422e-08,-1.6767e-08,8.82092e-08,70.0|274,411
3,9|411|9|411|sample|4|274|4|274|70.0,0.624682,1.97144e-09,-1.17468e-09,4.04353e-08,70.0|274,411
4,9|411|9|411|sample|4|274|4|274|70.0,0.767721,-4.35413e-09,-6.03706e-09,1.08564e-07,70.0|274,411
5,9|411|9|411|sample|4|274|4|274|70.0,0.691918,6.1899e-09,-2.49305e-08,2.07136e-08,70.0|274,411
6,9|411|9|411|sample|4|274|4|274|70.0,0.691894,2.68246e-08,-9.09606e-08,3.61431e-08,70.0|274,411
7,9|411|9|411|sample|4|274|4|274|70.0,0.743302,6.09734e-09,-6.96303e-08,-1.41372e-07,70.0|274,411
8,9|411|9|411|sample|4|274|4|274|70.0,0.593471,-3.97382e-08,-7.28599e-08,-2.66755e-09,70.0|274,411
9,9|411|9|411|sample|4|274|4|274|70.0,0.527077,6.30337e-09,-5.46632e-08,-6.93892e-08,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.0738428,-3.73051e-08,6.30391e-09,-1.99359e-08,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,0.174889,2.781e-09,-5.24518e-08,-3.58065e-08,70.0|274,411
3,9|411|9|411|sample|3|274|3|274|70.0,0.103566,-1.71088e-08,-5.18922e-08,1.07416e-07,70.0|274,411
4,9|411|9|411|sample|3|274|3|274|70.0,0.139455,1.06794e-08,5.0226e-08,-6.44378e-08,70.0|274,411
5,9|411|9|411|sample|3|274|3|274|70.0,0.104342,1.26582e-08,9.90661e-09,5.19529e-08,70.0|274,411
6,9|411|9|411|sample|3|274|3|274|70.0,0.121435,-3.09146e-08,-7.56769e-08,-1.32195e-07,70.0|274,411
7,9|411|9|411|sample|3|274|3|274|70.0,0.0801446,-2.78268e-08,5.83242e-08,-8.93213e-08,70.0|274,411
8,9|411|9|411|sample|3|274|3|274|70.0,0.0561782,-7.28984e-08,3.3385e-08,-6.49003e-08,70.0|274,411
9,9|411|9|411|sample|3|274|3|274|70.0,0.0941172,-3.3898e-08,-3.20825e-09,3.47758e-08,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.758882,7.76068e-08,5.89153e-08,1.66995e-09,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,0.677415,-1.74048e-08,1.30526e-08,-4.03341e-08,70.0|274,411
3,9|411|9|411|sample|5|274|5|274|70.0,0.746116,-7.19983e-09,4.74797e-08,4.59745e-08,70.0|274,411
4,9|411|9|411|sample|5|274|5|274|70.0,0.773481,3.99909e-08,-1.46242e-08,-3.57384e-08,70.0|274,411
5,9|411|9|411|sample|5|274|5|274|70.0,0.69516,-6.93852e-09,-4.19337e-08,-3.23253e-08,70.0|274,411
6,9|411|9|411|sample|5|274|5|274|70.0,0.700709,-7.60362e-08,2.98164e-08,-1.03229e-07,70.0|274,411
7,9|411|9|411|sample|5|274|5|274|70.0,0.700709,-9.97401e-09,-1.23419e-08,-8.32673e-09,70.0|274,411
8,9|411|9|411|sample|5|274|5|274|70.0,0.744388,9.67973e-10,1.04153e-08,1.02327e-09,70.0|274,411
9,9|411|9|411|sample|5|274|5|274|70.0,0.780186,-1.2891e-08,-4.68328e-08,-9.06348e-08,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.867007,-2.90588e-08,-1.51029e-08,9.3819e-09,70.0|274,411
2,9|411|9|411|sample|6|274|6|274|70.0,0.862177,1.16866e-08,9.27457e-09,7.41854e-08,70.0|274,411
3,9|411|9|411|sample|6|274|6|274|70.0,0.862177,1.93433e-08,1.63198e-08,-1.78698e-08,70.0|274,411
4,9|411|9|411|sample|6|274|6|274|70.0,0.783328,-2.30713e-08,1.45623e-08,9.4403e-08,70.0|274,411
5,9|411|9|411|sample|6|274|6|274|70.0,0.855407,6.09881e-09,-3.03461e-08,9.20923e-08,70.0|274,411
6,9|411|9|411|sample|6|274|6|274|70.0,0.862853,2.00832e-08,4.23613e-08,2.17501e-08,70.0|274,411
7,9|411|9|411|sample|6|274|6|274|70.0,0.790538,-1.26143e-07,-6.78013e-08,-1.81312e-08,70.0|274,411
8,9|411|9|411|sample|6|274|6|274|70.0,0.791975,-1.19638e-07,-2.0575e-08,4.44165e-08,70.0|274,411
9,9|411|9|411|sample|6|274|6|274|70.0,0.879775,-4.15226e-08,4.72439e-08,-2.48931e-08,70.0|274,411
