rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-0.53591,-1.53252e-08,6.11484e-08,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,-0.516345,1.66115e-08,-8.63676e-09,70.0|274,411
3,9|411|9|411|sample|4|274|4|274|70.0,-0.516345,-2.92671e-08,-1.01537e-09,70.0|274,411
4,9|411|9|411|sample|4|274|4|274|70.0,-0.534211,-1.37912e-08,3.76396e-08,70.0|274,411
5,9|411|9|411|sample|4|274|4|274|70.0,-0.534211,-1.71957e-08,-3.04038e-08,70.0|274,411
6,9|411|9|411|sample|4|274|4|274|70.0,-0.700198,-1.01353e-08,2.36629e-08,70.0|274,411
7,9|411|9|411|sample|4|274|4|274|70.0,-0.700198,2.53284e-08,1.00073e-08,70.0|274,411
8,9|411|9|411|sample|4|274|4|274|70.0,-0.650833,1.5948e-08,2.50465e-08,70.0|274,411
9,9|411|9|411|sample|4|274|4|274|70.0,-0.535722,6.04801e-09,-3.22798e-08,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.23512,4.64614e-08,6.65547e-08,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,-1.08337,-6.26437e-08,-7.08982e-09,70.0|274,411
3,9|411|9|411|sample|3|274|3|274|70.0,-1.35262,-1.69884e-08,-4.03633e-08,70.0|274,411
4,9|411|9|411|sample|3|274|3|274|70.0,-1.1543,-5.51143e-08,3.77204e-08,70.0|274,411
5,9|411|9|411|sample|3|274|3|274|70.0,-1.29992,-3.26726e-08,3.10824e-08,70.0|274,411
6,9|411|9|411|sample|3|274|3|274|70.0,-1.22471,-4.1412e-08,-8.79724e-09,70.0|274,411
7,9|411|9|411|sample|3|274|3|274|70.0,-1.2139,1.91113e-09,-4.78594e-09,70.0|274,411
8,9|411|9|411|sample|3|274|3|274|70.0,-1.33603,2.35788e-08,-5.31822e-08,70.0|274,411
9,9|411|9|411|sample|3|274|3|274|70.0,-1.33309,-1.0697e-08,1.81304e-09,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-0.628344,1.94486e-08,5.89245e-08,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,-0.598249,-4.05273e-08,-2.03374e-09,70.0|274,411
3,9|411|9|411|sample|5|274|5|274|70.0,-0.526576,1.43373e-08,-4.25449e-08,70.0|274,411
4,9|411|9|411|sample|5|274|5|274|70.0,-0.482446,1.08693e-08,-3.23044e-08,70.0|274,411
5,9|411|9|411|sample|5|274|5|274|70.0,-0.680756,4.31393e-08,5.3384e-08,70.0|274,411
6,9|411|9|411|sample|5|274|5|274|70.0,-0.491144,3.24449e-08,2.40278e-08,70.0|274,411
7,9|411|9|411|sample|5|274|5|274|70.0,-0.491144,-3.30503e-09,-2.37035e-08,70.0|274,411
8,9|411|9|411|sample|5|274|5|274|70.0,-0.491144,1.00631e-08,-2.64404e-08,70.0|274,411
9,9|411|9|411|sample|5|274|5|274|70.0,-0.491144,1.26263e-08,-4.15599e-08,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-0.556547,2.03013e-08,2.49512e-08,70.0|274,411
2,9|411|9|411|sample|6|274|6|274|70.0,-0.434902,-4.72412e-08,-1.43714e-08,70.0|274,411
3,9|411|9|411|sample|6|274|6|274|70.0,-0.535724,-1.81313e-08,-2.05361e-08,70.0|274,411
4,9|411|9|411|sample|6|274|6|274|70.0,-0.45062,-1.03182e-08,1.14468e-08,70.0|274,411
5,9|411|9|411|sample|6|274|6|274|70.0,-0.521204,-4.38664e-08,-8.08149e-09,70.0|274,411
6,9|411|9|411|sample|6|274|6|274|70.0,-0.538187,-3.96508e-08,1.84984e-08,70.0|274,411
7,9|411|9|411|sample|6|274|6|274|70.0,-0.533558,-3.87919e-08,-8.06813e-09,70.0|274,411
8,9|411|9|411|sample|6|274|6|274|70.0,-0.387921,-4.36111e-08,-7.46836e-08,70.0|274,411
9,9|411|9|411|sample|6|274|6|274|70.0,-0.41763,4.64239e-08,-1.25103e-08,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-0.899597,1.47748e-08,9.03072e-09,70.0|274,411
2,9|411|9|411|sample|8|274|8|274|70.0,-0.899597,-2.42864e-08,3.39222e-08,70.0|274,411
3,9|411|9|411|sample|8|274|8|274|70.0,-0.899597,4.95518e-09,-9.31213e-09,70.0|274,411
4,9|411|9|411|sample|8|274|8|274|70.0,-0.928163,2.22944e-08,-1.96195e-08,70.0|274,411
5,9|411|9|411|sample|8|274|8|274|70.0,-0.928163,1.24152e-08,2.64866e-08,70.0|274,411
6,9|411|9|411|sample|8|274|8|274|70.0,-0.928163,3.31414e-08,4.70065e-08,70.0|274,411
7,9|411|9|411|sample|8|274|8|274|70.0,-0.928163,-2.45366e-08,-9.03382e-09,70.0|274,411
8,9|411|9|411|sample|8|274|8|274|70.0,-0.960737,-3.52615e-08,-4.66825e-08,70.0|274,411
9,9|411|9|411|sample|8|274|8|274|70.0,-0.960737,-7.82064e-09,-9.27193e-09,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-0.995752,2.36966e-08,4.61007e-08,70.0|274,411
2,9|411|9|411|sample|7|274|7|274|70.0,-0.995752,-1.77343e-08,-3.43551e-08,70.0|274,411
