id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_L_gap_sd,mab_virus,run_id
8|152|8|152|sample|6|322|6|322|65.0,-1.47491,-7.60816e-10,-4.72345e-09,-1.45805,2.07078e-09,-2.63759e-09,-1.50104,1.83631e-13,-1.0747e-13,0.0961078,2.43535e-08,3.17506e-08,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-1.63563,-2.97289e-09,-3.1071e-09,-1.61947,-2.00035e-09,9.97507e-10,-1.61968,5.4623e-14,1.42109e-14,0.0917858,2.84518e-08,3.25549e-08,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-2.79995,-8.76329e-09,1.22631e-08,-2.8081,1.48387e-09,-3.47872e-09,-2.83305,-1.11022e-13,-8.43769e-14,0.0848566,2.60898e-08,3.36043e-08,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-2.66875,-1.72494e-10,-3.57898e-09,-2.67429,4.23881e-09,-4.32396e-09,-2.65971,-5.79536e-14,-4.78506e-14,0.0890692,2.68622e-08,2.8021e-08,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-2.71849,4.19694e-09,-4.35304e-09,-2.67904,4.0093e-09,-1.51069e-09,-2.68369,-6.52811e-14,-1.15075e-13,0.118399,2.74673e-08,2.84737e-08,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,-2.51051,-1.27986e-11,-1.94658e-09,-2.52263,-8.10161e-10,-5.09551e-10,-2.50715,-8.81517e-14,-3.39839e-13,0.10815,2.61446e-08,3.0531e-08,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-2.01565,5.23863e-10,-6.81542e-09,-2.05722,1.41507e-10,-1.65163e-10,-2.0359,1.2923e-13,5.01821e-14,0.0981743,2.57664e-08,3.07701e-08,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,-1.90913,-1.89659e-09,1.0373e-08,-1.90481,-5.9966e-10,-4.00364e-09,-1.91614,-7.99361e-15,-7.32747e-14,0.0950081,2.78087e-08,3.37935e-08,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.129121,4.3604e-09,-6.3749e-09,-0.218939,-5.9304e-10,-3.20957e-09,5.2639e-08,-5.77316e-15,9.76996e-15,2.4663,2.48875e-08,2.73218e-08,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,-0.0739908,1.23455e-09,-2.39389e-09,0.0725848,1.89923e-10,-5.77179e-10,-3.27475e-07,-1.77636e-15,0,2.41402,2.38098e-08,3.30012e-08,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.16808,6.19216e-09,5.12879e-09,-0.00386554,1.16563e-09,-2.09622e-09,-7.46008e-07,2.66454e-15,-3.55271e-15,2.24155,2.88414e-08,2.95408e-08,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,-0.0798524,2.27809e-09,-1.14556e-09,-0.227385,2.39832e-09,1.2706e-09,-2.28276e-07,3.55271e-15,8.88178e-16,2.51606,2.83039e-08,3.10709e-08,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-0.164292,1.62244e-09,7.46796e-09,0.17025,1.08483e-09,1.01522e-09,-1.54711e-07,6.21725e-15,0,2.60516,2.65977e-08,3.32814e-08,69.0|322,152
