rep,id,eta_U,eta_L,eta_alpha,mean_cc
1,411,1.04551,0.13039,0.00218175,910.0
2,411,-1.28821,0.061449,9.4949e-05,910.0
3,411,-0.29052,0.243381,-0.0109389,910.0
4,411,1.04639,-0.0787171,-0.00608046,910.0
5,411,1.61487,0.0238456,0.00407162,910.0
6,411,-1.60951,0.120074,-0.00385958,910.0
7,411,0.0448888,0.0380541,-0.0152741,910.0
8,411,1.47595,0.0703469,0.0248554,910.0
9,411,-0.437379,0.126728,-0.00326275,910.0
10,411,0.84995,0.115793,0.00417464,910.0
1,152,-0.557817,-0.0863077,-0.00811992,695.25
2,152,0.921562,-0.138803,-0.00993303,695.25
3,152,0.0176859,0.119806,0.00565734,695.25
4,152,0.338909,0.175272,0.00349245,695.25
5,152,0.0204058,0.0583957,-0.0078657,695.25
6,152,-0.872092,0.103487,0.00723187,695.25
7,152,0.549598,0.0790841,0.00919834,695.25
8,152,0.156442,0.0508366,0.00225184,695.25
9,152,-1.33762,0.000724186,-0.00289106,695.25
10,152,2.16783,0.0403958,-0.0304905,695.25
1,1056,1.88533,-0.0542898,0.00793455,713.75
2,1056,-1.0936,0.104459,0.000562039,713.75
3,1056,-0.194134,-0.0814779,-0.0111122,713.75
4,1056,0.413816,0.138641,-0.000922054,713.75
5,1056,0.884877,0.0855054,0.0151218,713.75
6,1056,-0.577925,-0.170308,-0.0266972,713.75
7,1056,-0.0054046,0.0393798,-0.00202238,713.75
8,1056,0.717324,-0.169289,-0.0019597,713.75
9,1056,0.412585,-0.256535,0.00244833,713.75
10,1056,0.0624117,-0.122335,0.00850164,713.75
1,462,0.565168,0.245839,0.00098884,643.5
2,462,0.0747556,-0.171699,0.0127055,643.5
3,462,0.0400863,0.0175921,-0.00753665,643.5
4,462,-0.60336,0.105485,-0.0308778,643.5
5,462,-0.718132,-0.322974,0.0023915,643.5
6,462,-0.482805,0.16854,-0.00340566,643.5
7,462,-0.379932,0.129676,0.0104236,643.5
8,462,-1.45559,-0.180745,0.00289647,643.5
9,462,0.0609232,-0.122386,0.0126284,643.5
10,462,-1.01002,-0.0811814,0.000928959,643.5
1,1159,-0.659706,-0.0020029,-0.0112858,654.75
2,1159,-1.44966,-0.184471,0.00173673,654.75
3,1159,0.579168,-0.0625029,-0.00393337,654.75
4,1159,0.862209,-0.0167847,-0.00364102,654.75
5,1159,0.44985,-0.00471055,0.0134414,654.75
6,1159,-1.45668,-0.0649125,-0.00791511,654.75
7,1159,-1.093,-0.0900975,-0.0112011,654.75
8,1159,-0.254292,-0.0568581,-0.0130516,654.75
9,1159,0.282323,-0.18388,-0.000984291,654.75
10,1159,0.209985,-0.083155,0.00904753,654.75
1,1197,0.300302,0.0656894,0.0113237,636.5
2,1197,0.525066,0.103191,-0.00907113,636.5
3,1197,-0.901344,-0.120735,-0.0152568,636.5
4,1197,0.778464,-0.0826417,-0.00723894,636.5
5,1197,-0.118857,-0.0601397,-0.00495772,636.5
6,1197,-0.245365,0.0372809,-0.0133384,636.5
7,1197,0.251717,0.018053,0.00486226,636.5
8,1197,-2.11745,0.0608742,-0.00428352,636.5
9,1197,0.357804,-0.301189,-0.00153372,636.5
10,1197,0.396942,-0.110481,-0.00471314,636.5
