id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|vc|8|2|274|2|274|69.0,1.00005,-0.00497131,7.67079,-0.0424117,1.71465,0.000261257,1.44799e-09,1.00005,-0.00496528,7.67079,4.47105e-07,1.71465,0.000266519,1.43735e-09,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,1,-0.000455936,0.839782,0.135357,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,0.169262,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,1,-0.000455936,0.839782,0.126277,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,0.179714,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,1,-0.000455936,0.839782,0.213911,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,0.268859,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,1,-0.000455936,0.839782,0.17717,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,0.27699,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,1,-0.000455936,0.839782,1.48676,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,1.53479,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,1,-0.000455936,0.839782,1.44028,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,1.44358,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,1,-0.000455936,0.839782,0.141784,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,0.17691,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,1,-0.000455936,0.839782,0.129975,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,0.169294,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,1,-0.000455936,0.839782,2.60488,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,2.37302,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,1,-0.000455936,0.839782,2.52901,0.0586598,0.000264431,1.44836e-09,1,-0.00045041,0.839782,2.37239,0.0586598,0.000269811,1.43772e-09,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,1,-0.000455936,2.18086,-0.0242238,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-1.35283e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,1,-0.000455936,2.18086,0.0609752,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-4.38393e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,1,-0.000455936,2.18086,0.10612,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-2.54896e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,1,-0.000455936,2.18086,0.125453,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-1.38242e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,1,-0.000455936,2.18086,0.113539,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-1.11616e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,1,-0.000455936,2.18086,0.102287,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-5.53015e-08,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,1,-0.000455936,2.18086,-0.00967042,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,1.54956e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,1,-0.000455936,2.18086,-0.195302,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-3.14385e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,1,-0.000455936,2.18086,0.0177654,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,2.86571e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,1,-0.000455936,2.18086,0.114211,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,3.51832e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,1,-0.000455936,2.18086,-0.13762,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,6.28543e-08,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,1,-0.000455936,2.18086,-0.0533242,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-1.60386e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,1,-0.000455936,2.18086,0.0304406,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-9.46894e-08,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,1,-0.000455936,2.18086,0.106551,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-3.30075e-07,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,1,-0.000455936,2.18086,-0.0525031,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-9.49191e-08,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,1,-0.000455936,2.18086,0.150167,0.764564,0.000264431,1.44836e-09,1,-0.00045041,2.18086,-5.3867e-08,0.764564,0.000269811,1.43772e-09,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,1,5.65163e-06,0.577278,2.84502,0.0648046,7.94294e-05,1.44833e-09,1,5.75819e-06,0.577278,2.42542,0.0648046,7.8065e-05,1.4377e-09,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,1,5.65163e-06,0.577278,2.84755,0.0648046,7.94294e-05,1.44833e-09,1,5.75819e-06,0.577278,2.42132,0.0648046,7.8065e-05,1.4377e-09,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,1,5.65163e-06,0.577278,1.85657,0.0648046,7.94294e-05,1.44833e-09,1,5.75819e-06,0.577278,1.68158,0.0648046,7.8065e-05,1.4377e-09,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,1,5.65163e-06,0.577278,1.56649,0.0648046,7.94294e-05,1.44833e-09,1,5.75819e-06,0.577278,1.51025,0.0648046,7.8065e-05,1.4377e-09,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,1,5.65163e-06,0.56519,1.43363,0.0663642,7.94294e-05,1.44833e-09,1,5.75819e-06,0.56519,1.46051,0.0663642,7.8065e-05,1.4377e-09,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,1,5.65163e-06,0.56519,1.36696,0.0663642,7.94294e-05,1.44833e-09,1,5.75819e-06,0.56519,1.40617,0.0663642,7.8065e-05,1.4377e-09,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,1,5.65163e-06,0.56519,0.896625,0.0663642,7.94294e-05,1.44833e-09,1,5.75819e-06,0.56519,0.957021,0.0663642,7.8065e-05,1.4377e-09,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,1,5.65163e-06,0.56519,0.89004,0.0663642,7.94294e-05,1.44833e-09,1,5.75819e-06,0.56519,0.9804,0.0663642,7.8065e-05,1.4377e-09,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,1,5.65163e-06,0.518109,1.52354,0.00275251,7.94294e-05,1.44833e-09,1,5.75819e-06,0.518109,1.51539,0.00275251,7.8065e-05,1.4377e-09,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,1,5.65163e-06,0.51811,1.60311,0.00275251,7.94294e-05,1.44833e-09,1,5.75819e-06,0.518109,1.5252,0.00275251,7.8065e-05,1.4377e-09,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,1,5.65163e-06,3.48766,-0.136657,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,4.19476e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,1,5.65163e-06,3.48766,-0.0648736,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-5.12419e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,1,5.65163e-06,3.48766,0.0562494,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-3.20195e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,1,5.65163e-06,3.48766,0.05914,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,7.15659e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,1,5.65163e-06,3.48766,-0.0016878,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-0.00171994,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,1,5.65163e-06,3.48766,-0.104648,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,3.29377e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,1,5.65163e-06,3.48766,-0.103533,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-4.65288e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,1,5.65163e-06,3.48766,0.0172653,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-4.68334e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.0310986,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,7.14917e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.0505144,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-3.09897e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.21249,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-2.25258e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.106874,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-8.16137e-08,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.0856788,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,2.66151e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,1,5.65163e-06,3.48766,0.207504,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,1.8542e-07,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.02319,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,2.56987e-08,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,1,5.65163e-06,3.48766,-0.131244,1.88298,7.94294e-05,1.44833e-09,1,5.75819e-06,3.48766,-6.57447e-09,1.88298,7.8065e-05,1.4377e-09,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,1.00141,5.656e-06,0.577278,1.47247,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,1.41973,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,1.00141,5.656e-06,0.577278,1.71007,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,1.6268,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,1.00141,5.656e-06,0.577278,0.519514,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,0.485283,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,1.00141,5.656e-06,0.577278,0.457555,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,0.494878,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,1.00141,5.656e-06,0.577278,2.41647,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,2.38677,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,1.00141,5.656e-06,0.577278,2.54387,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,2.52164,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,1.00141,5.656e-06,0.577278,1.13222,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,1.12463,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,1.00141,5.656e-06,0.577278,1.09116,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,1.11671,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,1.00141,5.656e-06,0.577278,0.619251,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,0.656128,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,1.00141,5.656e-06,0.577278,0.652514,0.0648046,0.000264431,1.4475e-09,1.00139,5.76243e-06,0.577278,0.698522,0.0648046,0.000269811,1.43686e-09,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,0.0657098,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-2.99284e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,0.0633728,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-1.0335e-06,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,-0.257881,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-4.13719e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,-0.0239944,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,5.26805e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,-0.0202675,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-0.0207852,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,-0.132935,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,2.79623e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,0.236523,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-2.27842e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,1.00141,5.656e-06,3.48766,0.019815,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-2.32881e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|1|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,-0.0398108,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-4.34552e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|2|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,0.109767,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-2.01741e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|3|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,0.0914176,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,1.66123e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|4|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,0.210512,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,9.28213e-08,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|5|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,0.0233143,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,3.1071e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|6|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,-0.0155099,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,-3.59221e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|7|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,0.183149,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,3.41295e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|433|14|433|vc|8|2|99|2|99|69.0,1.00141,5.656e-06,3.48766,0.0368152,1.88298,0.000264431,1.4475e-09,1.00139,5.76243e-06,3.48766,4.19713e-07,1.88298,0.000269811,1.43686e-09,False,69.0|99,433
14|297|14|297|sample|3|71|3|71|6.0,1,-2.32271e-06,0.839782,0.636188,0.0586598,0.000254642,1.44829e-09,1,-2.30179e-06,0.839782,0.705143,0.0586598,0.000259771,1.43766e-09,True,6.0|71,297
