parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
beta_L_gap_mab_virus_65_0_103,1.56755408804112,,9.85604967971825e-08,6.28753403465317e-06,1.56755,1.56755
beta_L_gap_mab_virus_65_0_276,-1.96553734355799,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_292,-0.63140554752803,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_322,-1.65305638778238,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_103,2.1436363315817,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_274,1.51025243954134,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_276,-2.11617036945912,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_292,-1.512701091196,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_322,-0.67028383733302,,nan,nan,nan,nan
beta_L_gap_mab_virus_70_0_274,-1.74923680899882,,nan,nan,nan,nan
beta_L_gap_run_id_1159,-0.00977320668912859,,6.44339420179909e-08,0.000659291715273607,-0.00977333,-0.00977308
beta_L_gap_run_id_1197,-2.41270486406559,,nan,nan,nan,nan
beta_L_gap_run_id_152,1.27540118167081,,nan,nan,nan,nan
beta_L_gap_run_id_411,-0.238984369457485,,nan,nan,nan,nan
beta_L_gap_run_id_462,0.956696866177052,,nan,nan,nan,nan
omega_f,0.869790831623536,106.342947072531,0.241503810619026,27.7657342246571,0.518908,1.45794
omega_h,4.15629679425673e-08,4.98722531900134e-06,nan,nan,nan,nan
omega_s,4.20191200743956e-08,4.2146848510894e-06,2.73663165354301e-08,65.1282475382099,1.49377e-08,1.18198e-07
omega_L_gap,5.35710082887325e-08,-2.28136717602927e-06,4.1141856110876e-08,76.7987339143089,1.6854e-08,1.70277e-07
a,83.215382902988,,6.54814407396862,7.86891058544116,71.3725,97.0234
b,0.0754405533349514,,0.00303857588421204,4.0277751817659,0.0697207,0.0816296
