id,importanceSampling
411|4,134.340583
411|3,143.170417
411|5,159.760595
411|6,162.140643
411|8,136.007276
411|7,137.015192
411|9,155.523273
411|10,162.190267
411|12,135.651883
411|11,133.628598
411|1,82.995987
411|2,147.582007
152|8,144.644051
152|7,144.328920
152|6,151.266943
152|5,150.549522
152|12,139.632715
152|11,137.997544
152|10,144.185068
152|9,148.006313
152|3,146.214223
152|4,145.755780
152|1,77.839666
152|2,151.647626
1056|8,140.875601
1056|7,142.669634
1056|6,147.399808
1056|5,148.185364
1056|12,149.348291
1056|11,143.384606
1056|10,146.918243
1056|9,151.602943
1056|4,144.019437
1056|3,141.424696
1056|1,77.109962
1056|2,163.459621
462|6,207.520501
462|5,205.460347
462|4,205.999080
462|3,204.220588
462|9,140.358798
462|10,142.850842
462|7,151.627013
462|8,151.570893
462|11,159.904645
462|12,166.951209
462|1,90.959796
462|2,161.617531
1159|8,151.605566
1159|7,154.133401
1159|5,158.800433
1159|6,158.191274
1159|11,151.093148
1159|12,160.747327
1159|9,151.987024
1159|10,153.169585
1159|4,150.162621
1159|3,148.779315
1159|1,81.587260
1159|2,158.735674
1197|7,99.352207
1197|8,131.241626
1197|6,138.621241
1197|5,138.171436
1197|12,100.675793
1197|10,141.413079
1197|9,108.649916
1197|3,131.648919
1197|4,131.762103
1197|11,99.950276
1197|1,81.404328
1197|2,159.206130
