rep,id,f,h,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.47222,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.395166,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.508567,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.511456,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.504279,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.40738,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.521053,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.50384,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.431812,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.448325,1.44329,-13.0918,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.0227662,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.0212144,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.0197093,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.0209559,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.0234509,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.0213951,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.0221564,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.0173056,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.020397,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0.0170542,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.0231779,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.0193025,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.0196497,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.0207576,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0.0210171,1.44329,-13.0918,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.0198362,1.44329,-13.0918,69.0|274,411
