rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|783|14|783|vc|4|2|71|2|71|69.0,0,0,-9.34723e-09,0.677898,1.58228e-08,0,0,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,0,0,-5.74167e-09,4.58404,1.72704e-08,0,0,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,0,0,4.96065e-08,0.79877,-3.66287e-08,0,0,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,0,0,2.99164e-08,-2.90973,6.82243e-08,0,0,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,0,0,-9.43907e-09,-0.0917336,1.38787e-07,0,0,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,0,0,9.90339e-08,4.8054,-4.03132e-08,0,0,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,0,0,4.11304e-08,2.57662,3.35507e-08,0,0,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,0,0,-6.08475e-10,2.43676,4.88206e-09,0,0,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,0,0,-7.98664e-08,1.82695,-1.29723e-08,0,0,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,0,0,2.7194e-08,0.981658,-1.46031e-08,0,0,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,0,0,1.69358e-08,1.22726,3.04508e-08,0,0,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,0,0,4.55024e-08,0.912475,-1.84085e-08,0,0,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,0,0,-5.61202e-10,1.07478,2.84047e-08,0,0,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,0,0,-5.0106e-08,2.16935,-8.13003e-08,0,0,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,0,0,-4.31923e-08,1.00844,7.88271e-08,0,0,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,0,0,8.93879e-10,-2.16138,2.91956e-09,0,0,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,0,0,-4.12789e-08,-1.23827,6.04655e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,0,0,3.00972e-09,0.0537687,3.79392e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,0,0,1.23566e-08,1.25383,1.4303e-07,0,0,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,0,0,-2.66636e-08,0.636289,2.76811e-07,0,0,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,0,0,2.73184e-08,1.16704,1.43586e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,0,0,-1.9479e-08,-1.74765,4.05741e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,0,0,4.78038e-08,-0.597454,-3.48976e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,0,0,-1.86067e-08,1.61147,1.57153e-07,0,0,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,0,0,4.98071e-08,-0.248474,4.21833e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,0,0,-4.00203e-08,-1.07832,-1.70653e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,0,0,7.99655e-08,1.2251,-8.35895e-09,0,0,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,0,0,-2.5638e-08,-2.20781,1.63819e-07,0,0,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,0,0,-2.25815e-08,0.213235,-2.11968e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,0,0,5.51673e-08,-2.03984,5.34976e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,0,0,3.7868e-08,0.924237,-1.26577e-08,0,0,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,0,0,-1.1377e-08,1.3208,1.65613e-07,0,0,True,6.0|99,433
1,14|433|14|433|sample|3|99|3|99|6.0,0,0,-3.07836e-09,1.65808,-1.57809e-07,0,0,True,6.0|99,433
1,14|433|14|433|sample|6|99|6|99|6.0,0,0,3.68313e-08,0.366442,1.1441e-07,0,0,True,6.0|99,433
1,14|433|14|433|sample|5|99|5|99|6.0,0,0,2.85298e-08,0.474551,-1.38546e-09,0,0,True,6.0|99,433
1,14|433|14|433|sample|8|99|8|99|6.0,0,0,1.03535e-07,2.10377,-1.22452e-07,0,0,True,6.0|99,433
1,14|433|14|433|sample|7|99|7|99|6.0,0,0,2.07792e-08,2.06611,3.28635e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|10|99|10|99|6.0,0,0,2.63049e-08,0.898098,-3.57698e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|9|99|9|99|6.0,0,0,4.65725e-09,0.936575,-6.75086e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|11|99|11|99|6.0,0,0,-4.81958e-08,0.507443,9.01558e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|12|99|12|99|6.0,0,0,-4.62683e-08,0.602557,-1.74482e-08,0,0,True,6.0|99,433
1,14|433|14|433|cc|1|1|99|1|99|69.0,0,0,5.94597e-08,2.05375,3.61964e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|2|1|99|1|99|69.0,0,0,3.11046e-08,-1.5612,-9.87463e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|3|1|99|1|99|69.0,0,0,-2.61595e-08,0.0116304,-2.93228e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|4|1|99|1|99|69.0,0,0,2.71979e-08,1.01155,-4.85841e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|5|1|99|1|99|69.0,0,0,-3.4623e-08,-1.59134,2.74273e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|6|1|99|1|99|69.0,0,0,3.89231e-08,2.09945,-5.00544e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|7|1|99|1|99|69.0,0,0,-4.26515e-09,-0.196578,-1.38871e-07,0,0,False,69.0|99,433
1,14|433|14|433|cc|8|1|99|1|99|69.0,0,0,5.33078e-08,2.53663,1.29517e-07,0,0,False,69.0|99,433
1,14|433|14|433|vc|1|2|99|2|99|69.0,0,0,-1.00415e-07,-4.70122,-9.02842e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|2|2|99|2|99|69.0,0,0,3.78853e-08,-0.387152,6.81917e-09,0,0,False,69.0|99,433
1,14|433|14|433|vc|3|2|99|2|99|69.0,0,0,1.53611e-08,-0.284877,-1.53071e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|4|2|99|2|99|69.0,0,0,-3.94492e-08,0.614433,4.88785e-08,0,0,False,69.0|99,433
