id,importanceSampling
411|4,135.369258
411|3,142.674511
411|5,160.657200
411|6,164.216281
411|8,136.496593
411|7,137.358571
411|9,157.576199
411|10,162.714889
411|12,136.434606
411|11,134.894675
411|1,83.014935
411|2,147.392745
152|8,148.151225
152|7,148.381316
152|6,162.283446
152|5,160.655234
152|12,147.519378
152|11,144.103842
152|10,152.214164
152|9,155.330919
152|3,157.275368
152|4,152.647263
152|1,77.835419
152|2,150.775975
1056|8,110.534734
1056|7,144.916079
1056|6,150.978296
1056|5,152.146619
1056|12,146.742143
1056|11,142.691064
1056|10,116.190399
1056|9,152.854265
1056|4,146.285562
1056|3,144.903236
1056|1,77.167004
1056|2,163.689218
462|6,201.513128
462|5,199.641566
462|4,201.903485
462|3,200.330886
462|9,142.538501
462|10,144.641962
462|7,154.630709
462|8,154.775649
462|11,160.081932
462|12,162.895097
462|1,90.933675
462|2,161.612753
1159|8,152.420975
1159|7,154.368986
1159|5,158.805400
1159|6,158.440672
1159|11,147.910859
1159|12,154.460850
1159|9,155.841695
1159|10,154.639236
1159|4,120.317010
1159|3,152.294271
1159|1,81.581297
1159|2,158.828246
1197|7,132.855776
1197|8,99.159041
1197|6,140.821602
1197|5,141.346164
1197|12,131.744410
1197|10,143.110544
1197|9,145.144258
1197|3,134.059124
1197|4,134.189870
1197|11,98.953076
1197|1,81.411000
1197|2,159.227123
