parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_mean_cc_254.219875,79215.560118205,,nan,0,nan,nan
U_mean_cc_266.9225,79215.5601183707,,nan,0,nan,nan
U_mean_cc_295.221875,79215.5600766904,,nan,0,nan,nan
U_mean_cc_335.306375,79215.5600764071,,nan,0,nan,nan
U_mean_cc_362.242,79215.5599176573,,nan,0,nan,nan
U_mean_cc_363.422375,79215.5479475931,,nan,0,nan,nan
U_mean_cc_377.072125,79215.5601187618,,nan,0,nan,nan
U_mean_cc_389.553125,79215.5601187474,,nan,0,nan,nan
U_mean_cc_445.75,79215.5601108448,,nan,0,nan,nan
U_mean_cc_468.5,79215.5598638377,,nan,0,nan,nan
U_mean_cc_476.5,79215.5601100464,,nan,0,nan,nan
U_mean_cc_485.0,79215.5601192695,,nan,0,nan,nan
U_mean_cc_489.0,79215.5601182973,,nan,0,nan,nan
U_mean_cc_503.381125,79215.560118655,,nan,0,nan,nan
U_mean_cc_523.5,79215.5601185793,,nan,0,nan,nan
U_mean_cc_528.25,79215.54902336,,nan,0,nan,nan
U_mean_cc_553.0,79215.5601189616,,nan,0,nan,nan
U_mean_cc_572.0039999999999,79215.5601185582,,nan,0,nan,nan
U_mean_cc_607.0,79215.5602186041,,nan,0,nan,nan
U_mean_cc_636.5,79215.5601156359,,nan,0,nan,nan
U_mean_cc_643.5,79215.5631237318,,nan,0,nan,nan
U_mean_cc_654.75,79215.5602011902,,nan,0,nan,nan
U_mean_cc_670.5,79215.5601174611,,nan,0,nan,nan
U_mean_cc_671.0,79215.4251717303,,nan,0,nan,nan
U_mean_cc_687.0,79215.5601306211,,nan,0,nan,nan
U_mean_cc_695.25,79215.5601213643,,nan,0,nan,nan
U_mean_cc_697.25,79215.5556613022,,nan,0,nan,nan
U_mean_cc_701.5,79215.5601236534,,nan,0,nan,nan
U_mean_cc_713.75,79215.5601177085,,nan,0,nan,nan
U_mean_cc_737.5,79215.6955151137,,nan,0,nan,nan
