parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_pop,79215.560118205,,nan,nan,nan,nan
beta_U_mean_cc_266_9225,1.65665010922952e-07,,nan,nan,nan,nan
beta_U_mean_cc_295_221875,-4.1514615522735e-05,,nan,nan,nan,nan
beta_U_mean_cc_335_306375,-4.17978882200848e-05,,19761.3420560717,47278326483.9106,-38731.5,38731.5
beta_U_mean_cc_362_242,-0.000200547680430938,,19620.7452950123,9783581267.4827,-38456,38456
beta_U_mean_cc_363_422375,-0.0121706118455266,,nan,nan,nan,nan
beta_U_mean_cc_377_072125,5.56790755070435e-07,,nan,nan,nan,nan
beta_U_mean_cc_389_553125,5.42358649697107e-07,,nan,nan,nan,nan
beta_U_mean_cc_445_75,-7.36023609953507e-06,,106328.002550408,1444627605860.69,-208399,208399
beta_U_mean_cc_468_5,-0.000254367256500984,,nan,nan,nan,nan
beta_U_mean_cc_476_5,-8.15863829304437e-06,,nan,nan,nan,nan
beta_U_mean_cc_485_0,1.06455162989699e-06,,nan,nan,nan,nan
beta_U_mean_cc_489_0,9.23163300585427e-08,,nan,nan,nan,nan
beta_U_mean_cc_503_381125,4.5003279747922e-07,,nan,nan,nan,nan
beta_U_mean_cc_523_5,3.74296226006552e-07,,nan,nan,nan,nan
beta_U_mean_cc_528_25,-0.0110948450226466,,nan,nan,nan,nan
beta_U_mean_cc_553_0,7.5656684946705e-07,,nan,nan,nan,nan
beta_U_mean_cc_572_0039999999999,3.53238003056864e-07,,29204.2915482025,8267596152020.27,-57239.4,57239.4
beta_U_mean_cc_607_0,0.000100399106838581,,22549.840768828,22460200572.3847,-44196.9,44196.9
beta_U_mean_cc_636_5,-2.56908030162273e-06,,12042.457659333,468745864102.67,-23602.8,23602.8
beta_U_mean_cc_643_5,0.0030055268315551,,8393.43954215218,279266831.160157,-16450.8,16450.8
beta_U_mean_cc_654_75,8.29851999157123e-05,,nan,nan,nan,nan
beta_U_mean_cc_670_5,-7.43912279327181e-07,,nan,nan,nan,nan
beta_U_mean_cc_671_0,-0.134946474714651,,nan,nan,nan,nan
beta_U_mean_cc_687_0,1.24161177898408e-05,,23542.4396407921,189611922496.863,-46142.3,46142.3
beta_U_mean_cc_695_25,3.15931895719577e-06,,23161.625804008,733120844011.471,-45396,45396
beta_U_mean_cc_697_25,-0.00445690283547297,,nan,nan,nan,nan
beta_U_mean_cc_701_5,5.44836832263741e-06,,nan,nan,nan,nan
beta_U_mean_cc_713_75,-4.96507187151104e-07,,nan,nan,nan,nan
beta_U_mean_cc_737_5,0.135396908708687,,8059.58211530671,5952559.91600758,-15796.4,15796.6
beta_U_mean_cc_740_5,-9.95287246277977e-07,,8565.7859595,860634554650.732,-16788.6,16788.6
beta_U_mean_cc_744_25,-2.74604651579185e-07,,7801.45254777148,2840976109802.66,-15290.6,15290.6
beta_U_mean_cc_910_0,9.05812052137403e-07,,nan,nan,nan,nan
L_pop,574.97785886083,,93.7807130543264,16.3103172772824,391.171,758.785
beta_L_mean_cc_266_9225,-321.904886184665,,100.809705078541,31.3166122681066,-519.488,-124.321
beta_L_mean_cc_295_221875,5.04814725981539e-09,,nan,nan,nan,nan
beta_L_mean_cc_335_306375,2.47189705701362e-09,,nan,nan,nan,nan
beta_L_mean_cc_362_242,4.51988401945152e-09,,nan,nan,nan,nan
beta_L_mean_cc_363_422375,3.82720938541395e-09,,nan,nan,nan,nan
beta_L_mean_cc_377_072125,5.74778310011894e-08,,nan,nan,nan,nan
beta_L_mean_cc_389_553125,-205.941377256602,,105.257371322746,51.1103561241101,-412.242,0.35928
beta_L_mean_cc_445_75,-149.266706723932,,107.769041730621,72.1989813374391,-360.49,61.9567
beta_L_mean_cc_468_5,-129.501245653883,,108.597483484128,83.8582539772446,-342.348,83.3459
beta_L_mean_cc_476_5,-121.757812536927,,108.950694336002,89.4814813652796,-335.297,91.7816
beta_L_mean_cc_485_0,-115.213176702615,,109.202520403293,94.7830131315298,-329.246,98.8198
beta_L_mean_cc_489_0,-107.340810751169,,109.67061847296,102.170477105108,-322.291,107.61
beta_L_mean_cc_503_381125,1.56213556476133e-08,,85.8791737222315,549754935867.891,-168.32,168.32
beta_L_mean_cc_523_5,3.73566577555313e-09,,91.4643170453938,2448407393508.08,-179.267,179.267
beta_L_mean_cc_528_25,1.14720720530105e-08,,94.2669060819295,821707758165.556,-184.76,184.76
beta_L_mean_cc_553_0,1.14427275814056e-08,,101.938662173868,890859818593.586,-199.796,199.796
beta_L_mean_cc_572_0039999999999,3.17070535536973e-08,,106.864493332506,337036972393.306,-209.451,209.451
beta_L_mean_cc_607_0,-8.99293509293037e-08,,115.052100607947,127936095856.394,-225.498,225.498
beta_L_mean_cc_636_5,29.514476975235,,nan,nan,nan,nan
beta_L_mean_cc_643_5,-1.43721069181122e-08,,nan,nan,nan,nan
beta_L_mean_cc_654_75,-1.75688953391082e-09,,123.635711339463,7037193230029.17,-242.322,242.322
beta_L_mean_cc_670_5,-8.90456586997365e-08,,125.680032210396,141141111251.916,-246.328,246.328
beta_L_mean_cc_671_0,-3.77341355788744e-09,,125.895296841209,3336376861689.46,-246.75,246.75
beta_L_mean_cc_687_0,-6.25793534097113e-09,,127.892864145678,2043691044686.17,-250.665,250.665
beta_L_mean_cc_695_25,-9.68983140062282e-09,,128.903417945008,1330295777248.74,-252.646,252.646
beta_L_mean_cc_697_25,-5.74180294041821e-09,,129.330452538237,2252436279689.14,-253.483,253.483
beta_L_mean_cc_701_5,-3.76157334303874e-09,,129.708195558269,3448243161290.74,-254.223,254.223
beta_L_mean_cc_713_75,-2.81721550967777e-07,,130.958006744289,46484909050.9473,-256.673,256.673
beta_L_mean_cc_737_5,126.007803273184,,nan,nan,nan,nan
beta_L_mean_cc_740_5,127.895196753046,,nan,nan,nan,nan
beta_L_mean_cc_744_25,130.409949581401,,121.531553619172,93.1919335980673,-107.788,368.607
beta_L_mean_cc_910_0,-1.53223342295163e-08,,144.547889077369,943380342134.284,-283.309,283.309
alpha_pop,0.268454632788611,,95810.834051241,35689767.412837,0.000242818,296.799
beta_alpha_mean_cc_266_9225,-9.29375657211996e-07,,nan,nan,nan,nan
beta_alpha_mean_cc_295_221875,-4.88331825666258e-08,,nan,nan,nan,nan
beta_alpha_mean_cc_335_306375,1.42056217595374,,3.58095497872575,252.080129919098,-5.59798,8.4391
beta_alpha_mean_cc_362_242,1.30718295978148,,3.59524321849244,275.03749123944,-5.73936,8.35373
beta_alpha_mean_cc_363_422375,-6.66995537164067e-09,,nan,nan,nan,nan
beta_alpha_mean_cc_377_072125,1.96905609357936,,3.57257983481455,181.436163574208,-5.03307,8.97118
beta_alpha_mean_cc_389_553125,1.96964386823708,,3.57258295912539,181.38217861298,-5.03249,8.97178
beta_alpha_mean_cc_445_75,1.63859271164908,,3.2261662465172,196.886402800509,-4.68458,7.96176
