id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|783|14|783|sample|9|71|9|71|6.0,0,0,-6.12264e-09,-5.8754,2.08705,0,0,0,0,-3.30291e-15,-1.10275,1.26751,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,0,-5.29553e-09,-6.53469,-2.38261,0,0,0,0,-8.46545e-16,-3.17427,-2.65867,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,0,-1.01879e-08,-6.81016,-2.70207,0,0,0,0,-5.10703e-15,-3.25548,-2.63654,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,0,-1.73786e-09,-0.260288,-0.0248484,0,0,0,0,1.55431e-15,-3.308e-07,1.89555e-08,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,0,3.91488e-09,1.07496,0.118211,0,0,0,0,-1.77636e-15,-7.14573e-08,1.13269e-07,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,0,2.86831e-09,-0.0947789,-0.167837,0,0,0,0,4.44089e-16,-2.39752e-07,-2.54374e-08,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,0,-8.24328e-10,-0.116143,0.159518,0,0,0,0,0,4.82324e-07,-7.14175e-08,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,0,-5.8638e-09,0.750926,-0.0279982,0,0,0,0,-1.55431e-15,-3.11176e-08,2.38379e-07,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,0,2.39015e-09,-0.0540035,-0.243437,0,0,0,0,0,-5.70191e-07,-8.90426e-08,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,0,1.06526e-09,0.51342,0.0327904,0,0,0,0,-1.9984e-15,-9.08173e-08,3.25823e-08,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,0,-7.03305e-10,0.285178,0.17366,0,0,0,0,1.44329e-15,-2.88834e-07,-1.20371e-07,0,0,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,0,0,-1.01438e-08,-0.156697,-0.125848,0,0,0,0,-2.22045e-16,2.98429e-07,-4.87819e-08,0,0,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,0,0,5.92297e-09,0.677178,-0.110724,0,0,0,0,3.33067e-15,-7.3195e-07,-9.62364e-08,0,0,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,0,0,-4.54178e-09,-0.381441,-0.0984594,0,0,0,0,0,4.99772e-07,3.11245e-08,0,0,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,0,0,2.68795e-09,-0.253352,0.130878,0,0,0,0,1.77636e-15,-1.54666e-07,2.13118e-07,0,0,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,0,0,-6.80988e-09,-1.16038,-0.123907,0,0,0,0,2.88658e-15,-2.30614e-07,-1.33269e-07,0,0,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,0,0,-2.11067e-10,0.716135,-0.148724,0,0,0,0,-2.77556e-15,6.11763e-08,1.03817e-07,0,0,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,0,0,-1.73884e-09,-0.850734,-0.430419,0,0,0,0,-2.44249e-15,-3.70772e-07,-1.69714e-07,0,0,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,0,0,-5.25918e-11,1.81999,-0.236369,0,0,0,0,1.55431e-15,-2.14434e-08,-3.22241e-07,0,0,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,0,0,-2.57301e-09,-5.66534,-1.95686,0,0,0,0,2.55351e-15,-3.12966,-2.6895,0,0,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,0,0,-4.06103e-09,-5.73962,-1.95235,0,0,0,0,-2.48412e-15,-3.13244,-2.68872,0,0,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,0,0,-1.06588e-08,-5.89057,-2.24334,0,0,0,0,-3.33067e-15,-3.22755,-2.62555,0,0,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,0,0,-1.30958e-09,-6.26633,-1.50137,0,0,0,0,-3.96905e-15,-3.25835,-2.59513,0,0,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,0,0,3.88308e-09,-6.16405,-1.27035,0,0,0,0,0,-2.67513,-2.28758,0,0,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,0,0,6.46202e-11,-7.04401,-1.28484,0,0,0,0,-2.94209e-15,-2.54735,-2.18407,0,0,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,0,0,-3.00161e-09,-5.87161,-1.34491,0,0,0,0,6.69603e-15,-2.5498,-2.24545,0,0,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,0,0,4.59688e-09,-5.74497,-1.41398,0,0,0,0,-7.79932e-15,-2.72112,-2.34846,0,0,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,0,0,-2.91705e-09,-4.4497,-1.41636,0,0,0,0,1.86517e-14,-1.68398,-1.96994,0,0,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,0,0,-3.98651e-10,-5.16449,-1.00927,0,0,0,0,1.11022e-15,-1.68937,-1.96976,0,0,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,0,0,-2.70181e-09,0.674577,-0.206322,0,0,0,0,2.66454e-15,4.78976e-07,1.30247e-07,0,0,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,0,0,-5.95756e-09,-0.249128,-0.532771,0,0,0,0,-8.88178e-16,4.00515e-07,7.56458e-09,0,0,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,0,0,-8.20551e-09,0.617965,0.0847439,0,0,0,0,-2.22045e-15,-4.40414e-07,4.61052e-08,0,0,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,0,0,6.81826e-09,-0.729135,0.042577,0,0,0,0,-2.22045e-15,-3.54585e-07,4.56932e-08,0,0,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,0,0,4.49328e-10,-1.54756,-0.206535,0,0,0,0,1.33227e-15,3.52117e-07,-6.41624e-08,0,0,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,0,0,-1.30705e-09,0.420043,-0.119343,0,0,0,0,1.33227e-15,-3.76023e-07,-8.49329e-09,0,0,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,0,0,-4.71498e-09,-0.622803,-0.174332,0,0,0,0,1.33227e-15,3.61085e-07,2.67703e-07,0,0,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,0,0,-3.72053e-09,1.09817,-0.089522,0,0,0,0,-1.33227e-15,4.64076e-07,-2.20834e-07,0,0,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,0,0,-3.1865e-09,-0.676994,0.313244,0,0,0,0,-4.44089e-16,-5.41785e-07,6.54783e-08,0,0,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,0,0,-2.4571e-09,0.0488685,0.0577924,0,0,0,0,0,-2.81744e-07,1.18564e-07,0,0,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,0,0,-5.83147e-09,-0.339106,-0.0866182,0,0,0,0,-8.88178e-16,3.70522e-09,2.04324e-07,0,0,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,0,0,1.2624e-09,0.76582,-0.580885,0,0,0,0,-3.10862e-15,5.54778e-09,-3.22994e-08,0,0,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,0,0,3.47154e-09,0.3268,0.230008,0,0,0,0,-2.66454e-15,-3.69002e-07,1.03546e-07,0,0,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,0,0,4.45703e-09,0.0510268,0.0506709,0,0,0,0,-3.55271e-15,-1.97343e-07,-1.48327e-07,0,0,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,0,0,-2.09314e-09,-0.457558,0.236288,0,0,0,0,-4.44089e-16,-1.28008e-07,8.19408e-08,0,0,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,0,0,6.44021e-09,0.922217,0.182755,0,0,0,0,-1.9984e-15,-2.90234e-07,-3.24386e-08,0,0,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,0,0,-1.00047e-09,0.455382,0.0619518,0,0,0,0,6.66134e-16,0.958139,0.614869,0,0,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,0,0,5.47275e-10,-1.40573,-0.229546,0,0,0,0,-1.05471e-15,-1.03267,-0.612466,0,0,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,0,0,-6.64154e-10,-4.16043,-0.228803,0,0,0,0,5.10703e-15,-1.64684,-0.33831,0,0,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,0,0,-1.79927e-09,-1.83546,-0.482082,0,0,0,0,-4.35763e-15,-1.54127,-0.389769,0,0,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,0,0,7.74616e-09,-1.34366,0.329184,0,0,0,0,1.63758e-15,-1.00213,-0.619341,0,0,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,0,0,4.1037e-09,-1.28699,0.347042,0,0,0,0,-9.53404e-15,-1.01094,-0.619007,0,0,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,0,0,-4.01851e-09,-0.234612,0.495387,0,0,0,0,-7.35523e-15,-1.32241,-0.567061,0,0,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,0,0,1.30616e-08,-1.49326,-0.638551,0,0,0,0,0,-1.32568,-0.569952,0,0,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,0,0,-5.07957e-09,-1.82085,-0.298814,0,0,0,0,5.41234e-16,-1.56776,-0.448312,0,0,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,0,0,-1.74223e-09,-0.863659,-0.125941,0,0,0,0,1.80411e-15,-1.39682,-0.508495,0,0,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,0,0,-4.32098e-09,0.959574,-0.192536,0,0,0,0,-8.88178e-16,3.39668e-07,-5.64678e-08,0,0,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,0,0,2.43656e-09,0.537037,-0.310809,0,0,0,0,1.77636e-15,3.80344e-07,1.09886e-07,0,0,False,69.0|99,433
