id,eta_f_SAEM,eta_h_SAEM,eta_L_plate_SAEM,eta_L_gap_SAEM,eta_U_SAEM,eta_alpha_SAEM,eta_f_mean,eta_h_mean,eta_L_plate_mean,eta_L_gap_mean,eta_U_mean,eta_alpha_mean,eta_f_mode,eta_h_mode,eta_L_plate_mode,eta_L_gap_mode,eta_U_mode,eta_alpha_mode,eta_f_sd,eta_h_sd,eta_L_plate_sd,eta_L_gap_sd,eta_U_sd,eta_alpha_sd,goes_down,mab_virus,run_id
863|7,-1.56415,1.67181,0.0759251,1.07919e-08,10.5492,-0.380093,-1.60932,1.73999,0.0756101,2.73849e-10,11.2393,-0.248962,-1.5893,1.74958,0.0740439,3.27516e-13,11.225,-0.256069,0.151403,0.130514,0.0908695,1.06844e-07,0.0869249,0.364017,True,65.0|274,863
863|8,-1.53261,1.73066,0.139353,-5.17794e-09,10.5323,-0.387854,-1.69228,1.68815,0.1343,-8.22658e-10,11.2541,-0.174459,-1.6635,1.7007,0.135985,1.87628e-14,11.2354,-0.183353,0.154695,0.128538,0.0973078,1.03452e-07,0.0884015,0.356624,True,65.0|274,863
863|6,-1.69375,1.86076,0.0744829,-3.7745e-09,10.5639,-0.379584,-1.63326,2.01152,0.115187,7.43543e-09,11.1888,-0.500524,-1.6341,2.00435,0.108851,-5.68434e-14,11.1847,-0.449759,0.10637,0.143816,0.110992,1.03405e-07,0.0644537,0.343335,True,65.0|274,863
863|5,-1.68513,1.81265,0.134212,-7.31888e-09,10.5679,-0.450289,-1.71437,1.87012,0.120727,7.34698e-09,11.2392,-0.323582,-1.71933,1.86193,0.123585,2.86549e-13,11.2357,-0.292505,0.113863,0.136988,0.110276,1.05389e-07,0.0677357,0.340944,True,65.0|274,863
863|11,-1.93744,1.76781,-0.126855,2.71078e-08,10.4917,-0.315952,-1.97214,1.81222,-0.139802,-8.31607e-10,11.1516,-0.303327,-1.99154,1.79617,-0.137225,3.10862e-14,11.1761,-0.187422,0.13732,0.130712,0.121634,1.0753e-07,0.113721,0.347446,True,28.0|274,863
863|12,-1.95557,1.6239,-0.200641,-2.32767e-08,10.2748,-0.717465,-2.01667,1.66555,-0.194875,-3.07125e-09,11.0311,-0.494192,-2.05143,1.63873,-0.19529,-1.77636e-14,11.0973,-0.303056,0.158248,0.119959,0.120167,1.06462e-07,0.209229,0.435783,True,28.0|274,863
863|9,-1.78261,1.87236,-0.0922849,-2.24143e-08,10.5461,-0.360898,-1.79458,1.94864,-0.107849,9.32293e-09,11.2043,-0.314159,-1.79572,1.9428,-0.105395,-5.32907e-14,11.2037,-0.264293,0.108834,0.146532,0.129345,1.05804e-07,0.0672828,0.321293,True,28.0|274,863
863|10,-1.8599,1.69674,-0.126859,4.33639e-10,10.5563,-0.503477,-1.91123,1.73287,-0.101319,5.36503e-09,11.2355,-0.381902,-1.91593,1.7236,-0.105729,-3.39284e-13,11.2355,-0.326339,0.11514,0.118079,0.137475,1.01643e-07,0.0763574,0.34845,True,28.0|274,863
863|3,-2.15351,1.52196,0.0361692,-6.27513e-09,10.6468,-0.299244,-2.14098,1.62756,0.0230198,-4.04833e-09,11.3039,-0.228175,-2.14887,1.61371,0.0252542,3.9968e-15,11.3006,-0.191045,0.161671,0.122304,0.101278,1.08893e-07,0.0963723,0.349714,True,22.0|274,863
863|4,-1.96131,1.53968,0.0397403,2.19484e-08,10.6131,-0.318303,-1.78409,1.79712,0.0645132,6.53298e-10,11.2095,-0.517296,-1.83719,1.73682,0.0603383,8.88178e-16,11.2271,-0.405724,0.161263,0.164427,0.0973618,9.85507e-08,0.0838413,0.356948,True,22.0|274,863
