rep,id,U,L,alpha
1,411,120016,928.381,2.59982
2,411,120014,918.137,2.249
3,411,120026,904.768,2.26668
4,411,120023,897.239,2.62242
5,411,120026,909.723,2.60919
6,411,120015,895.478,2.56667
7,411,120003,914.296,2.81728
8,411,120012,876.117,2.84366
9,411,119987,890.653,2.50853
10,411,120020,929.04,3.16225
1,152,119990,719.353,1.55354
2,152,120005,701.073,1.47364
3,152,120003,701.002,1.22738
4,152,120008,681.498,1.53939
5,152,120022,700.735,1.10861
6,152,120011,690.778,0.577582
7,152,120033,717.766,1.23863
8,152,120004,701.811,0.98867
9,152,119993,700.404,0.563616
10,152,120038,680.276,0.978438
1,1056,120010,746.98,0.0692607
2,1056,119984,720.111,0.0444835
3,1056,120008,724.631,0.0142875
4,1056,120005,711.156,0.0164175
5,1056,120038,724.285,0.174831
6,1056,120006,701.698,0.00855643
7,1056,120016,722.04,0.0906114
8,1056,120027,699.167,0.0187961
9,1056,120003,705.352,0.312857
10,1056,120019,719.943,0.061702
1,462,120000,675.811,0.0843186
2,462,120039,646.817,0.0100045
3,462,120034,650.983,0.0692018
4,462,120020,670.213,0.0024313
5,462,119995,614.335,0.205755
6,462,120007,655.446,0.0629458
7,462,120053,639.813,0.197948
8,462,120019,645.571,0.00120071
9,462,120023,629.639,0.211227
10,462,120021,640.074,0.0121898
1,1159,120014,641.263,0.0640899
2,1159,119982,655.343,0.146199
3,1159,120006,661.757,0.0209678
4,1159,120038,683.562,0.0384981
5,1159,119994,657.413,0.084426
6,1159,120004,651.532,0.0304536
7,1159,120027,650.681,0.022388
8,1159,120003,636.087,0.0263055
9,1159,120018,676.533,0.00328615
10,1159,120024,634.723,0.202443
1,1197,120007,650.316,1.18691
2,1197,120009,642.104,0.56704
3,1197,119984,606.807,1.11435
4,1197,120014,655.359,0.507383
5,1197,120001,648.156,0.895335
6,1197,120037,630.13,0.256962
7,1197,120014,655.93,1.15876
8,1197,120004,623.512,0.557957
9,1197,120031,648.504,0.63581
10,1197,120038,647.136,0.759475
