U_pop,31168,-737.432,-29.5328,11005.9,-700.389,116.006,40.9789,0.13771,2.38845e+06,-32.099
L_pop,-737.432,1517.31,1.30088,-264.422,13.8385,-3.52614,-3.71839,-0.00060068,-62735.6,0.845277
alpha_pop,-29.5328,1.30088,2.09358,-9.78844,0.772337,-1.78619,0.283296,-0.000497775,-8338.59,0.11909
omega_U,11005.9,-264.422,-9.78844,4106.6,-252.688,41.3613,22.6247,0.03818,872701,-11.7254
omega_L,-700.389,13.8385,0.772337,-252.688,805.265,-2.97086,28.642,-0.0468438,-60499.4,0.815045
omega_alpha,116.006,-3.52614,-1.78619,41.3613,-2.97086,2.99822,-0.433905,0.0012947,18593.2,-0.260236
acc,40.9789,-3.71839,0.283296,22.6247,28.642,-0.433905,1022.8,-1.42783,-3251.87,0.0449521
bcc,0.13771,-0.00060068,-0.000497775,0.03818,-0.0468438,0.0012947,-1.42783,0.00203794,20.6578,-0.000279535
avc,2.38845e+06,-62735.6,-8338.59,872701,-60499.4,18593.2,-3251.87,20.6578,3.03011e+08,-4078.98
bvc,-32.099,0.845277,0.11909,-11.7254,0.815045,-0.260236,0.0449521,-0.000279535,-4078.98,0.0556925
