U_pop,1,-0.107233,-0.115613,0.972815,-0.139803,0.379484,0.00725789,0.0172788,0.777202,-0.770441
L_pop,-0.107233,1,0.0230811,-0.10593,0.0125194,-0.0522794,-0.00298485,-0.000341594,-0.0925226,0.0919525
alpha_pop,-0.115613,0.0230811,1,-0.105567,0.0188102,-0.71294,0.00612211,-0.00762068,-0.33107,0.348764
omega_U,0.972815,-0.10593,-0.105567,1,-0.138955,0.372754,0.0110394,0.0131978,0.78234,-0.775331
omega_L,-0.139803,0.0125194,0.0188102,-0.138955,1,-0.0604619,0.0315601,-0.0365668,-0.122476,0.121706
omega_alpha,0.379484,-0.0522794,-0.71294,0.372754,-0.0604619,1,-0.00783551,0.0165631,0.616869,-0.636851
acc,0.00725789,-0.00298485,0.00612211,0.0110394,0.0315601,-0.00783551,1,-0.988979,-0.00584128,0.00595602
bcc,0.0172788,-0.000341594,-0.00762068,0.0131978,-0.0365668,0.0165631,-0.988979,1,0.0262881,-0.0262387
avc,0.777202,-0.0925226,-0.33107,0.78234,-0.122476,0.616869,-0.00584128,0.0262881,1,-0.992943
bvc,-0.770441,0.0919525,0.348764,-0.775331,0.121706,-0.636851,0.00595602,-0.0262387,-0.992943,1
