parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
f_pop,1,,nan,nan,nan,nan
beta_f_mab_virus_22_0_276,0,,5.00040390154153,inf,-9.80061,9.80061
beta_f_mab_virus_22_0_292,0,,2.33560784527366,inf,-4.57771,4.57771
beta_f_mab_virus_22_0_322,0,,2.09868729344415,inf,-4.11335,4.11335
beta_f_mab_virus_28_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_28_0_276,0,,nan,nan,nan,nan
beta_f_mab_virus_28_0_292,0,,3.85065743515572,inf,-7.54715,7.54715
beta_f_mab_virus_28_0_322,0,,2.49480750070742,inf,-4.88973,4.88973
beta_f_mab_virus_32_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_55_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_65_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_65_0_276,0,,4.45063707833401,inf,-8.72309,8.72309
beta_f_mab_virus_65_0_292,0,,2.61291580740356,inf,-5.12122,5.12122
beta_f_mab_virus_65_0_322,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_274,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_276,0,,16.1794139026963,inf,-31.7111,31.7111
beta_f_mab_virus_69_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_322,0,,nan,nan,nan,nan
beta_f_mab_virus_70_0_274,0,,1.81003510580168,inf,-3.5476,3.5476
beta_f_run_id_1159,0,,3.9283369360141,inf,-7.6994,7.6994
beta_f_run_id_1197,0,,nan,nan,nan,nan
beta_f_run_id_152,0,,4.39620574992122,inf,-8.6164,8.6164
beta_f_run_id_411,0,,nan,nan,nan,nan
beta_f_run_id_462,0,,5.35741834089471,inf,-10.5003,10.5003
h_pop,1.3406328616708,,nan,nan,nan,nan
beta_h_mab_virus_22_0_276,0.603730066229173,,1.72379876072486e-06,0.000285524749743127,0.603727,0.603733
beta_h_mab_virus_22_0_292,0.863035697339665,,nan,nan,nan,nan
beta_h_mab_virus_22_0_322,-0.47490126133193,,9.53526367692001e-08,2.00784130372216e-05,-0.474901,-0.474901
beta_h_mab_virus_28_0_103,0.281023711095365,,3.53491078677738e-07,0.000125786922854271,0.281023,0.281024
beta_h_mab_virus_28_0_276,0.583284819157845,,nan,nan,nan,nan
beta_h_mab_virus_28_0_292,0.963995314750765,,nan,nan,nan,nan
beta_h_mab_virus_28_0_322,-0.495556818073231,,2.55415753907878e-07,5.15411643211686e-05,-0.495557,-0.495556
beta_h_mab_virus_32_0_292,1.13809268926946,,1.10556775970119e-07,9.71421545999786e-06,1.13809,1.13809
beta_h_mab_virus_55_0_292,-0.560640146388945,,nan,nan,nan,nan
beta_h_mab_virus_65_0_103,-0.00357081143879662,,3.40368459142467e-07,0.00953196395206948,-0.00357148,-0.00357014
beta_h_mab_virus_65_0_276,0.612744019341378,,2.19573975785643e-07,3.58345359325836e-05,0.612744,0.612744
beta_h_mab_virus_65_0_292,0.949051477835175,,nan,nan,nan,nan
beta_h_mab_virus_65_0_322,-0.489280536008567,,nan,nan,nan,nan
beta_h_mab_virus_69_0_103,4.82090120272086,,nan,nan,nan,nan
beta_h_mab_virus_69_0_274,1.95723064419364,,2.40208899923177e-06,0.000122728969442506,1.95723,1.95724
beta_h_mab_virus_69_0_276,-1.46721307871839,,8.574604497045e-07,5.84414399068398e-05,-1.46721,-1.46721
beta_h_mab_virus_69_0_292,-4.13244012927949,,nan,nan,nan,nan
beta_h_mab_virus_69_0_322,1.76032795818348,,nan,nan,nan,nan
beta_h_mab_virus_70_0_274,-0.894193893111615,,nan,nan,nan,nan
beta_h_run_id_1159,-0.389452209881921,,nan,nan,nan,nan
beta_h_run_id_1197,0.423366038282462,,3.23709082853248e-07,7.64608054454464e-05,0.423365,0.423367
beta_h_run_id_152,0.300589342769724,,nan,nan,nan,nan
beta_h_run_id_411,1.06303675108203,,nan,nan,nan,nan
beta_h_run_id_462,-0.389452886591443,,nan,nan,nan,nan
L_gap_pop,-24.2383390376541,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_276,-4.23571099247737,,1.71781695964838e-07,4.05555752670386e-06,-4.23571,-4.23571
beta_L_gap_mab_virus_22_0_292,0.411212748801151,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_322,0.339414013158014,,2.03102116571683e-07,5.98390486833343e-05,0.339414,0.339414
beta_L_gap_mab_virus_28_0_103,-7.60918010756355,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_276,-5.29941114569223,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_292,-2.76180655024357,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_322,1.38846872869143,,nan,nan,nan,nan
beta_L_gap_mab_virus_32_0_292,2.30534472025649,,nan,nan,nan,nan
beta_L_gap_mab_virus_55_0_292,-1.3533557661637,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_103,-9.41047976994166,,3.74804062067008e-07,3.98283691405599e-06,-9.41048,-9.41048
beta_L_gap_mab_virus_65_0_276,-2.14429077283961,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_292,-3.42573552846787,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_322,-4.19611178319508,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_103,-5.4264098867077,,2.67477486285427e-07,4.92917954724777e-06,-5.42641,-5.42641
beta_L_gap_mab_virus_69_0_274,-0.405506532701698,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_276,-5.64433123961523,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_292,0.404209491487078,,1.78091252193493e-07,4.40591465426256e-05,0.404209,0.40421
beta_L_gap_mab_virus_69_0_322,0.173179755599161,,2.56145251521833e-07,0.000147907156142836,0.173179,0.17318
beta_L_gap_mab_virus_70_0_274,-1.5630771843366,,8.40733283801638e-08,5.37870613317448e-06,-1.56308,-1.56308
beta_L_gap_run_id_1159,0.0790049040358127,,nan,nan,nan,nan
beta_L_gap_run_id_1197,1.76916900008549,,3.64313498908008e-07,2.05923514876421e-05,1.76917,1.76917
beta_L_gap_run_id_152,-2.29504928574651,,1.75109964510165e-07,7.62989995891122e-06,-2.29505,-2.29505
beta_L_gap_run_id_411,-1.96858371703835,,nan,nan,nan,nan
beta_L_gap_run_id_462,-4.4991357883663,,nan,nan,nan,nan
eta_alpha_pop,0.0288020939509139,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_22_0_276,-0.00282434463097125,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_22_0_292,-0.0482217946742553,,0.0933551265136389,193.595296782846,-0.231194,0.134751
beta_eta_alpha_mab_virus_22_0_322,0.00349333731695375,,0.189124797230862,5413.8716096212,-0.367184,0.374171
beta_eta_alpha_mab_virus_28_0_103,0.00551773827922284,,0.0955554667782151,1731.7868652457,-0.181768,0.192803
beta_eta_alpha_mab_virus_28_0_276,0.0181162718563726,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_28_0_292,0.00304948919595042,,0.143971522992473,4721.16848892792,-0.27913,0.285228
beta_eta_alpha_mab_virus_28_0_322,0.0297738923912591,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_32_0_292,0.0421110068672329,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_55_0_292,-0.0081362658792402,,0.142635189796648,1753.07926158834,-0.287696,0.271424
beta_eta_alpha_mab_virus_65_0_103,0.00539326613620835,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_65_0_276,-0.0457309679670733,,0.115461608448362,252.480132350348,-0.272032,0.18057
beta_eta_alpha_mab_virus_65_0_292,0.047875190573659,,nan,nan,nan,nan
