rep,id,U,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|488|cc|4|1|322,1,7.12645e-08,0.726843,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|cc|5|1|322,1,7.12645e-08,1.31731,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|cc|6|1|322,1,7.12645e-08,0.598352,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|cc|7|1|322,1,7.12645e-08,1.34856,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|cc|8|1|322,1,7.12645e-08,1.53044,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|sample|10|322,1,5.79357e-08,0.50144,16.3499,0.116559,1.04114e-15,True,32.0|322,488
1,8|488|sample|11|322,1,4.1484e-09,1.12402,8.14439,0.116559,1.04114e-15,True,22.0|322,488
1,8|488|sample|12|322,1,4.1484e-09,1.1766,8.14439,0.116559,1.04114e-15,True,22.0|322,488
1,8|488|sample|3|322,1,1.41468e-08,1.2758,0.260147,0.116559,1.04114e-15,True,55.0|322,488
1,8|488|sample|4|322,1,1.41468e-08,1.50387,0.260147,0.116559,1.04114e-15,True,55.0|322,488
1,8|488|sample|5|322,1,1.41468e-08,1.26197,0.260147,0.116559,1.04114e-15,True,55.0|322,488
1,8|488|sample|6|322,1,1.41468e-08,1.16607,0.260147,0.116559,1.04114e-15,True,55.0|322,488
1,8|488|sample|7|322,1,5.79357e-08,0.501444,16.3499,0.116559,1.04114e-15,True,32.0|322,488
1,8|488|sample|8|322,1,5.79357e-08,0.475465,16.3499,0.116559,1.04114e-15,True,32.0|322,488
1,8|488|sample|9|322,1,5.79357e-08,0.498072,16.3499,0.116559,1.04114e-15,True,32.0|322,488
1,8|488|vc|1|2|322,1,7.12645e-08,0.719119,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|2|2|322,1,7.12645e-08,1.46833,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|3|2|322,1,7.12645e-08,0.541784,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|4|2|322,1,7.12645e-08,1.42805,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|5|2|322,1,7.12645e-08,0.969503,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|6|2|322,1,7.12645e-08,1.72312,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|7|2|322,1,7.12645e-08,1.09493,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|488|vc|8|2|322,1,7.12645e-08,1.86778,10.6672,0.116559,1.04114e-15,False,69.0|322,488
1,8|847|cc|1|1|69,1,6.30606e-08,1.06149,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|2|1|69,1,6.30606e-08,1.91873,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|3|1|69,1,6.30606e-08,0.863947,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|4|1|69,1,6.30606e-08,1.6801,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|5|1|69,1,6.30606e-08,1.19686,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|6|1|69,1,6.30606e-08,1.0531,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|7|1|69,1,6.30606e-08,2.90024,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|cc|8|1|69,1,6.30606e-08,1.47821,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|sample|10|69,1,9.11536e-10,1.71441,17.9066,0.134353,1.04762e-15,True,32.0|69,847
1,8|847|sample|11|69,1,2.34448e-09,2.0341,2.1052,0.134353,1.04762e-15,True,22.0|69,847
1,8|847|sample|12|69,1,2.34448e-09,1.88668,2.1052,0.134353,1.04762e-15,True,22.0|69,847
1,8|847|sample|3|69,1,2.17183e-09,0.683319,3.0374,0.134353,1.04762e-15,True,55.0|69,847
1,8|847|sample|4|69,1,2.17183e-09,0.636163,3.0374,0.134353,1.04762e-15,True,55.0|69,847
1,8|847|sample|5|69,1,2.17183e-09,0.534786,3.0374,0.134353,1.04762e-15,True,55.0|69,847
1,8|847|sample|6|69,1,2.17183e-09,0.542175,3.0374,0.134353,1.04762e-15,True,55.0|69,847
1,8|847|sample|7|69,1,9.11536e-10,1.30738,17.9066,0.134353,1.04762e-15,True,32.0|69,847
1,8|847|sample|8|69,1,9.11536e-10,1.43812,17.9066,0.134353,1.04762e-15,True,32.0|69,847
1,8|847|sample|9|69,1,9.11536e-10,1.54056,17.9066,0.134353,1.04762e-15,True,32.0|69,847
1,8|847|vc|1|2|69,1,6.30606e-08,0.805932,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|2|2|69,1,6.30606e-08,1.39616,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|3|2|69,1,6.30606e-08,1.25807,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|4|2|69,1,6.30606e-08,1.96316,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|5|2|69,1,6.30606e-08,0.541161,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|6|2|69,1,6.30606e-08,0.495168,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|7|2|69,1,6.30606e-08,0.805262,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|847|vc|8|2|69,1,6.30606e-08,1.90043,4.71305,0.134353,1.04762e-15,False,69.0|69,847
1,8|474|cc|1|1|276,1,2.8228e-08,0.883161,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|2|1|276,1,2.82279e-08,0.748616,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|3|1|276,1,2.8228e-08,1.51843,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|4|1|276,1,2.82279e-08,0.876316,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|5|1|276,1,2.82279e-08,1.20231,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|6|1|276,1,2.82279e-08,1.17719,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|7|1|276,1,2.8228e-08,0.711494,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|cc|8|1|276,1,2.8228e-08,0.914479,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|sample|10|276,1,1.83923e-08,1.88993,44.1218,0.134353,1.04114e-15,True,32.0|276,474
1,8|474|sample|11|276,1,2.25079e-06,1.80049,8.40362,0.134353,1.04114e-15,True,22.0|276,474
1,8|474|sample|12|276,1,2.25079e-06,1.91981,8.40362,0.134353,1.04114e-15,True,22.0|276,474
1,8|474|sample|3|276,1,9.96528e-08,1.17052,2.08118,0.134353,1.04114e-15,True,55.0|276,474
1,8|474|sample|4|276,1,9.96528e-08,1.23256,2.08118,0.134353,1.04114e-15,True,55.0|276,474
1,8|474|sample|5|276,1,9.96528e-08,1.14827,2.08118,0.134353,1.04114e-15,True,55.0|276,474
1,8|474|sample|6|276,1,9.96528e-08,1.12518,2.08118,0.134353,1.04114e-15,True,55.0|276,474
1,8|474|sample|7|276,1,1.83923e-08,1.41079,44.1218,0.134353,1.04114e-15,True,32.0|276,474
1,8|474|sample|8|276,1,1.83923e-08,1.74039,44.1218,0.134353,1.04114e-15,True,32.0|276,474
