id,importanceSampling
411|4,137.136849
411|3,99.873611
411|5,159.764741
411|6,159.635464
411|8,136.541942
411|7,135.277825
411|9,92.156375
411|10,158.927817
411|12,101.504284
411|11,134.831568
411|1,83.009787
411|2,148.165641
152|8,148.581935
152|7,148.032098
152|6,122.049425
152|5,120.671698
152|12,144.995448
152|11,109.427809
152|10,147.597090
152|9,150.417528
152|3,149.825953
152|4,149.017663
152|1,44.774326
152|2,120.158301
1056|8,114.973740
1056|7,148.555624
1056|6,150.687778
1056|5,118.277897
1056|12,146.771727
1056|11,145.464937
1056|10,152.242644
1056|9,122.254307
1056|4,117.080453
1056|3,145.280704
1056|1,77.084827
1056|2,131.556071
462|6,166.454550
462|5,167.661642
462|4,172.569486
462|3,171.207342
462|9,147.294783
462|10,152.603787
462|7,160.402391
462|8,157.801826
462|11,169.120584
462|12,176.667233
462|1,90.951595
462|2,161.721993
1159|8,130.246964
1159|7,163.799568
1159|5,166.923221
1159|6,165.634546
1159|11,146.896862
1159|12,150.522816
1159|9,160.427040
1159|10,163.953862
1159|4,89.240344
1159|3,153.605422
1159|1,81.708738
1159|2,159.786088
1197|7,141.301589
1197|8,139.773094
1197|6,114.495139
1197|5,145.552751
1197|12,143.136525
1197|10,152.439151
1197|9,149.201025
1197|3,138.100284
1197|4,139.450088
1197|11,146.145882
1197|1,81.157692
1197|2,159.673881
