rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.35901e-08,-9.25291e-09,-3.03375e-08,-4.75512e-08,-2.29352,0,True,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,2.07239e-08,3.1064e-08,1.37629e-08,2.6721e-08,-2.51873,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.52505e-08,-4.08305e-08,2.60576e-08,-3.59984e-08,-2.20982,0,True,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,2.17293e-08,-2.05823e-08,-8.34088e-09,-2.41792e-08,-2.2676,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-2.2827e-08,-9.70085e-09,-4.72854e-08,-2.10363e-08,-2.07967,0,True,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,-9.33072e-08,1.80529e-08,-6.57871e-09,3.24839e-08,-1.91369,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,4.116e-08,-6.27708e-08,5.43185e-09,9.13929e-08,-2.66589,0,True,70.0|274,411
2,9|411|9|411|sample|6|274|6|274|70.0,-2.65542e-08,-5.88798e-09,9.64534e-10,2.85945e-08,-2.22713,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,3.06056e-08,3.66304e-09,-1.02223e-08,1.84654e-08,-1.80613,0,True,70.0|274,411
2,9|411|9|411|sample|8|274|8|274|70.0,-2.42785e-08,-8.28094e-09,-2.99967e-08,8.00934e-08,-2.34621,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-4.07857e-08,3.80851e-08,2.00987e-08,8.72848e-10,-2.65868,0,True,70.0|274,411
2,9|411|9|411|sample|7|274|7|274|70.0,-1.00093e-08,3.35569e-09,5.73957e-08,1.69234e-08,-2.49814,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-9.1176e-10,-2.94391e-08,1.89742e-08,-4.00428e-08,-2.33982,0,True,70.0|274,411
